_id,_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
679bea256c1c7a378d6e074b0de135af,5c43ef5eac0f5857c266baa1ccfa3d3f,9e72d6f2f1e9367b578b6479aa5852b7,360009702803,40.688454000000000,-73.910432000000000,New York City,NY,11207,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Mr.,f,f,Other,Applied Learning,,,Other,highest poverty,Grades 6-8,,,,,9.00,10.98,0,230.00,2,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-01-27 00:00:00,2003-12-31 00:00:00
67b4ca5b741b319cdd1b752a60c1b2da,14ffb3fe71cbb37d2506435b92283670,9d9c5218ac1e984a706b4cf49e8a674d,360009204890,40.685345000000000,-73.993539000000000,New York City,NY,11201,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,,,Supplies,highest poverty,Grades 6-8,,,,,255.00,310.98,0,255.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-01-27 00:00:00,2003-12-31 00:00:00
67cf959b82d28b61c0a0a0e375684747,e867b96a06184afd6fcbafece08480d4,655fbc26823227a94a5d50fa4dc2c243,360007802327,40.789372000000000,-73.967539000000000,New York City,NY,10025,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Environmental Science,Math & Science,,,Supplies,high poverty,Grades 3-5,,,,,95.00,115.85,0,95.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-01-07 00:00:00,2003-12-31 00:00:00
6a2997ebac146dda5103796ddedb23ca,fa948a50addaac12ad9be40d68d5eccb,5307fce11b85e6ca6618448b1a3a075d,360008501979,40.823649000000000,-73.859879000000000,New York City,NY,10473,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,Mathematics,Math & Science,,,Supplies,highest poverty,Grades 6-8,,,,,294.00,358.54,0,0.00,0,f,f,completed,2002-09-19 00:00:00,2002-10-01 00:00:00,2002-12-16 00:00:00,2003-12-31 00:00:00
6bdb5dfb1877236c10b4e1757935a9a7,9f1abbf9aa503997c046d6879fdd63ae,923a1f4850d4e09ad5b8d015ae988505,360007702871,40.742210000000000,-74.002041000000000,New York City,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Applied Sciences,Math & Science,,,Technology,highest poverty,Grades 9-12,,,,,1080.00,1317.07,0,0.00,0,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-08-01 00:00:00,2003-12-31 00:00:00
6d63ed299af4105930157e024852f457,84fd42b69d0db5710f09905939b366fe,5e4af81adba8db885dc6879c34cd5a57,360008602232,40.832818000000000,-73.911691000000000,New York City,NY,10456,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Early Development,Applied Learning,,,Supplies,moderate poverty,Grades PreK-2,,,,,385.00,469.51,0,385.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-01-03 00:00:00,2003-12-31 00:00:00
7176ccd5fbe458ee4b84731e78877161,672bfbc2e05e5818b22398b4fd1ce9e7,cabcc3ed826056c3969a8a99c5aeeaf6,360008502463,40.829224000000000,-73.856899000000000,New York City,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,Applied Sciences,Math & Science,,,Supplies,highest poverty,Grades 9-12,,,,,934.00,1139.02,0,1027.40,1,f,f,completed,2002-09-19 00:00:00,2003-01-07 00:00:00,2003-04-23 00:00:00,2003-12-31 00:00:00
722b40d170544c2ac39a7031ddd529c0,56daf4afddca389329040bf066d4c1d3,563b911be760a839557ea1ea4c8adab3,,40.577459782361984,-73.996831923723221,New York City,NY,10001,,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Health & Life Science,Math & Science,,,Technology,highest poverty,Grades 9-12,,,,,920.00,1121.95,0,942.00,3,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-02-26 00:00:00,2003-12-31 00:00:00
74de37e5a09099b1601270e88909ec5f,0c2d4535f03991165dc72092840d672b,cabcc3ed826056c3969a8a99c5aeeaf6,360008502463,40.829224000000000,-73.856899000000000,New York City,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Applied Sciences,Math & Science,,,Supplies,highest poverty,Grades 3-5,,,,,258.00,314.63,0,283.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-01-30 00:00:00,2003-12-31 00:00:00
78b724350aaece294a366f05b1b41499,225a1f3aced7d0a5642c494825234675,ffddd21ed1d58586b1f50bcedbd47750,360007803551,40.806160000000000,-73.948020000000000,New York City,NY,10027,urban,New York City Dept Of Ed,New York (Manhattan),f,t,f,f,f,f,Ms.,f,f,Other,Applied Learning,,,Technology,highest poverty,Grades 9-12,,,,,760.00,926.83,0,814.00,1,f,f,completed,2002-09-19 00:00:00,2003-04-24 00:00:00,2004-01-30 00:00:00,2003-12-31 00:00:00
